team,wk1_score,wk1_rank,wk2_score,wk2_rank
Always open,130.76,17,77.58,5
Clesch's Team,73.54,6,62.92,2
Commitment to Execution,111.16,14,59.32,1
Die Bienen,100.90,12,77.58,6
Franchise Revolution,86.76,7,81.38,8
Head Hunter,121.60,16,127.56,17
Headless Packers,94.76,10,96.08,13
Headless Vandemic,95.70,11,75.48,4
Heads Will Roll,72.16,5,105.34,15
Jouer Tellement Fort,93.58,9,108.40,16
Lutte Titanesque,70.74,4,92.68,12
Marie-Antoinette von Österreich-Lothringen,108.86,13,86.20,11
pfue's Team,70.42,3,82.62,9
RollercoasterShow,88.30,8,85.28,10
Semmel Warriors,68.82,1,,
Simonceo's Team,136.06,18,97.52,14
The Chopfather,119.10,15,80.10,7
the ones who remain!,69.92,2,73.66,3
